iter	Passed	Remaining
273	3917	10381
274	3925	10349
275	3932	10315
276	3939	10281
277	3946	10249
278	3953	10216
279	3960	10184
280	3969	10158
281	3979	10131
282	3989	10107
283	4000	10085
284	4010	10061
285	4020	10038
286	4030	10013
287	4040	9990
288	4050	9966
289	4060	9941
290	4069	9915
291	4078	9889
292	4088	9866
293	4098	9841
294	4108	9818
295	4119	9798
296	4129	9774
297	4139	9751
298	4149	9728
299	4159	9705
300	4168	9680
301	4177	9656
302	4187	9632
303	4195	9605
304	4204	9581
305	4214	9558
306	4224	9535
307	4234	9512
308	4243	9488
309	4252	9465
310	4261	9442
311	4271	9418
312	4281	9396
313	4289	9372
314	4299	9349
315	4308	9326
316	4317	9302
317	4327	9280
318	4336	9257
319	4345	9233
320	4354	9211
321	4363	9188
322	4372	9165
323	4381	9142
324	4391	9119
325	4400	9097
326	4410	9076
327	4419	9055
328	4429	9033
329	4438	9011
330	4447	8988
331	4457	8967
332	4466	8946
333	4475	8924
334	4484	8902
335	4494	8881
336	4502	8858
337	4511	8835
338	4520	8813
339	4528	8791
340	4537	8769
341	4546	8747
342	4555	8726
343	4564	8705
344	4574	8684
345	4583	8664
346	4592	8643
347	4602	8622
348	4611	8602
349	4621	8583
350	4630	8561
351	4638	8539
352	4647	8518
353	4656	8498
354	4666	8478
355	4675	8457
356	4684	8437
357	4692	8415
358	4701	8395
359	4710	8373
360	4719	8353
361	4728	8333
362	4737	8313
363	4746	8294
364	4756	8274
365	4765	8254
366	4773	8234
367	4783	8214
368	4791	8193
369	4800	8174
370	4809	8154
371	4818	8133
372	4827	8114
373	4835	8094
374	4844	8074
375	4853	8055
376	4862	8035
377	4871	8015
378	4880	7996
379	4888	7976
380	4897	7957
381	4907	7939
382	4916	7919
383	4924	7900
384	4933	7880
385	4942	7862
386	4951	7842
387	4960	7823
388	4969	7805
389	4978	7787
390	4988	7769
391	4997	7751
392	5007	7733
393	5016	7716
394	5025	7697
395	5034	7679
396	5042	7659
397	5049	7637
398	5056	7616
399	5062	7594
400	5069	7572
401	5075	7550
402	5081	7528
403	5089	7507
404	5098	7490
405	5108	7474
406	5117	7456
407	5126	7438
408	5136	7422
409	5146	7406
410	5156	7390
411	5167	7374
412	5176	7357
413	5186	7340
414	5195	7323
415	5203	7305
416	5212	7288
417	5221	7270
418	5231	7254
419	5240	7237
420	5252	7223
421	5262	7208
422	5272	7192
423	5284	7178
424	5294	7162
425	5304	7147
426	5315	7132
427	5325	7117
428	5335	7101
429	5345	7086
430	5356	7070
431	5366	7056
432	5377	7041
433	5387	7025
434	5399	7012
435	5409	6997
436	5419	6982
437	5432	6969
438	5443	6955
439	5452	6939
440	5465	6928
441	5477	6914
442	5488	6900
443	5498	6885
444	5509	6871
445	5520	6857
446	5531	6842
447	5541	6828
448	5551	6813
449	5562	6798
450	5573	6784
451	5583	6769
452	5593	6754
453	5604	6739
454	5615	6725
455	5625	6711
456	5635	6696
457	5646	6682
458	5658	6668
459	5668	6654
460	5679	6640
461	5689	6625
462	5699	6610
463	5709	6595
464	5720	6581
465	5730	6567
466	5740	6552
467	5751	6537
468	5760	6522
469	5769	6506
470	5779	6491
471	5788	6475
472	5798	6460
473	5807	6444
474	5817	6430
475	5827	6415
476	5841	6404
477	5851	6389
478	5861	6375
479	5868	6357
480	5881	6345
481	5903	6344
482	5918	6334
483	5930	6322
484	5950	6318
485	5962	6306
486	5975	6294
487	5985	6279
488	5997	6267
489	6009	6254
490	6020	6241
491	6031	6227
492	6043	6215
493	6056	6203
494	6066	6188
495	6076	6174
496	6086	6159
497	6096	6145
498	6108	6132
499	6118	6118
500	6128	6103
501	6138	6089
502	6148	6074
503	6158	6060
504	6169	6047
505	6179	6032
506	6189	6018
507	6199	6003
508	6208	5989
509	6218	5974
510	6227	5959
511	6237	5945
512	6247	5930
513	6257	5916
514	6267	5902
515	6277	5888
516	6287	5874
517	6298	5860
518	6307	5846
519	6317	5831
520	6327	5817
521	6337	5803
522	6347	5789
523	6357	5774
524	6367	5761
525	6377	5746
526	6386	5732
527	6396	5717
528	6406	5703
529	6416	5690
530	6426	5676
531	6436	5662
532	6447	5648
533	6456	5634
534	6466	5620
535	6477	5607
536	6487	5593
537	6497	5579
538	6508	5566
539	6517	5552
540	6527	5538
541	6537	5524
542	6547	5510
543	6558	5497
544	6568	5483
545	6578	5470
546	6589	5456
547	6600	5443
548	6609	5429
549	6620	5416
550	6630	5403
551	6641	5390
552	6651	5376
553	6661	5363
554	6671	5349
555	6682	5336
556	6692	5322
557	6702	5308
558	6712	5295
559	6723	5282
560	6733	5268
561	6743	5255
562	6754	5243
563	6763	5228
564	6773	5215
565	6783	5201
566	6793	5188
567	6803	5174
568	6812	5160
569	6821	5146
570	6832	5133
571	6843	5120
572	6853	5107
573	6862	5093
574	6873	5080
575	6884	5067
576	6894	5054
577	6904	5041
578	6914	5027
579	6923	5013
580	6933	5000
581	6943	4987
582	6952	4973
583	6962	4959
584	6972	4946
585	6982	4932
586	6992	4919
587	7001	4905
588	7011	4892
589	7020	4878
590	7029	4864
591	7038	4850
592	7046	4836
593	7056	4822
594	7064	4808
595	7074	4795
596	7083	4781
597	7093	4768
598	7102	4755
599	7112	4741
600	7122	4728
601	7132	4715
602	7142	4702
603	7151	4688
604	7163	4676
605	7170	4662
606	7177	4647
607	7184	4631
608	7191	4617
609	7198	4602
610	7205	4587
611	7214	4573
612	7224	4561
613	7234	4548
614	7244	4535
615	7256	4523
616	7266	4510
617	7278	4498
618	7288	4485
619	7297	4472
620	7307	4459
621	7317	4446
622	7327	4434
623	7339	4422
624	7350	4410
625	7361	4397
626	7373	4386
627	7386	4375
628	7397	4363
629	7408	4350
630	7420	4339
631	7431	4327
632	7442	4314
633	7451	4301
634	7462	4289
635	7472	4276
636	7482	4264
637	7493	4251
638	7503	4238
639	7514	4226
640	7524	4214
641	7534	4201
642	7546	4189
643	7556	4177
644	7566	4164
645	7576	4152
646	7586	4139
647	7596	4126
648	7607	4114
649	7616	4101
650	7626	4088
651	7635	4075
652	7645	4062
653	7656	4050
654	7665	4037
655	7675	4024
656	7684	4011
657	7693	3998
658	7703	3985
659	7709	3971
660	7715	3957
661	7721	3942
662	7727	3927
663	7733	3913
664	7742	3900
665	7752	3887
666	7762	3875
667	7774	3864
668	7785	3852
669	7795	3839
670	7805	3827
671	7816	3815
672	7828	3803
673	7841	3792
674	7851	3780
675	7862	3768
676	7875	3757
677	7888	3746
678	7902	3735
679	7914	3724
680	7925	3712
681	7936	3700
682	7947	3688
683	7959	3677
684	7970	3665
685	7983	3654
686	7996	3643
687	8009	3632
688	8020	3620
689	8032	3608
690	8044	3597
691	8055	3585
692	8066	3573
693	8079	3562
694	8090	3550
695	8100	3538
696	8112	3526
697	8123	3514
698	8133	3502
699	8144	3490
700	8154	3478
701	8163	3465
702	8175	3453
703	8184	3441
704	8194	3428
705	8203	3416
706	8212	3403
707	8222	3391
708	8234	3379
709	8245	3367
710	8255	3355
711	8265	3343
712	8276	3331
713	8286	3319
714	8296	3306
715	8306	3294
716	8316	3282
717	8326	3270
718	8335	3257
719	8345	3245
720	8355	3233
721	8364	3220
722	8373	3208
723	8384	3196
724	8393	3183
725	8403	3171
726	8413	3159
727	8423	3147
728	8433	3135
729	8443	3122
730	8452	3110
731	8462	3098
732	8471	3085
733	8481	3073
734	8490	3061
735	8500	3049
736	8510	3037
737	8519	3024
738	8529	3012
739	8538	3000
740	8548	2987
741	8557	2975
742	8567	2963
743	8577	2951
744	8586	2939
745	8597	2927
746	8606	2915
747	8616	2902
748	8626	2890
749	8636	2878
750	8645	2866
751	8655	2854
752	8665	2842
753	8675	2830
754	8685	2818
755	8695	2806
756	8704	2794
757	8713	2781
758	8722	2769
759	8731	2757
760	8740	2744
761	8749	2732
762	8758	2720
763	8767	2708
764	8775	2695
765	8784	2683
766	8792	2671
767	8801	2658
768	8810	2646
769	8819	2634
770	8828	2622
771	8837	2609
772	8846	2597
773	8855	2585
774	8865	2573
775	8874	2561
776	8883	2549
777	8891	2537
778	8901	2525
779	8909	2512
780	8918	2500
781	8927	2488
782	8936	2476
783	8945	2464
784	8953	2452
785	8962	2440
786	8970	2427
787	8980	2415
788	8988	2403
789	8998	2391
790	9006	2379
791	9016	2367
792	9025	2355
793	9034	2343
794	9043	2331
795	9052	2319
796	9062	2308
797	9071	2296
798	9080	2284
799	9089	2272
800	9098	2260
801	9107	2248
802	9115	2236
803	9124	2224
804	9133	2212
805	9142	2200
806	9152	2188
807	9163	2177
808	9173	2165
809	9181	2153
810	9191	2141
811	9199	2129
812	9208	2118
813	9217	2106
814	9226	2094
815	9234	2082
816	9243	2070
817	9252	2058
818	9261	2046
819	9270	2035
820	9279	2023
821	9288	2011
822	9297	1999
823	9306	1987
824	9315	1975
825	9323	1964
826	9332	1952
827	9341	1940
828	9350	1928
829	9359	1916
830	9368	1905
831	9377	1893
832	9386	1881
833	9395	1870
834	9404	1858
835	9413	1846
836	9422	1834
837	9432	1823
838	9441	1811
839	9450	1800
840	9459	1788
841	9468	1776
842	9477	1765
843	9487	1753
844	9496	1741
845	9503	1730
846	9510	1717
847	9516	1705
848	9523	1693
849	9529	1681
850	9535	1669
851	9544	1657
852	9553	1646
853	9564	1635
854	9574	1623
855	9584	1612
856	9595	1601
857	9606	1589
858	9617	1578
859	9629	1567
860	9640	1556
861	9651	1545
862	9662	1533
863	9672	1522
864	9683	1511
865	9693	1499
866	9704	1488
867	9714	1477
868	9725	1466
869	9736	1454
870	9745	1443
871	9756	1432
872	9765	1420
873	9775	1409
874	9785	1397
875	9795	1386
876	9805	1375
877	9816	1364
878	9827	1352
879	9837	1341
880	9848	1330
881	9858	1319
882	9869	1307
883	9878	1296
884	9888	1284
885	9898	1273
886	9908	1262
887	9918	1251
888	9928	1239
889	9938	1228
890	9949	1217
891	9959	1205
892	9970	1194
893	9981	1183
894	9991	1172
895	10002	1160
896	10011	1149
897	10022	1138
898	10035	1127
899	10047	1116
900	10058	1105
901	10069	1094
902	10080	1082
903	10090	1071
904	10100	1060
905	10110	1049
906	10120	1037
907	10129	1026
908	10134	1014
909	10141	1002
910	10147	991
911	10152	979
912	10158	968
913	10166	956
914	10175	945
915	10185	934
916	10195	922
917	10206	911
918	10216	900
919	10227	889
920	10236	878
921	10246	866
922	10257	855
923	10268	844
924	10278	833
925	10288	822
926	10298	810
927	10308	799
928	10318	788
929	10328	777
930	10338	766
931	10348	755
932	10360	743
933	10370	732
934	10380	721
935	10390	710
936	10401	699
937	10411	688
938	10422	677
939	10433	665
940	10442	654
941	10452	643
942	10463	632
943	10473	621
944	10483	610
945	10493	599
946	10503	587
947	10513	576
948	10524	565
949	10534	554
950	10545	543
951	10556	532
952	10566	521
953	10576	509
954	10587	498
955	10598	487
956	10610	476
957	10622	465
958	10633	454
959	10644	443
960	10654	432
961	10664	421
962	10676	410
963	10686	399
964	10695	387
965	10701	376
966	10708	365
967	10715	354
968	10733	343
969	10755	332
970	10771	321
971	10784	310
972	10795	299
973	10806	288
974	10818	277
975	10832	266
976	10844	255
977	10855	244
978	10866	233
979	10877	221
980	10888	210
981	10899	199
982	10911	188
983	10924	177
984	10935	166
985	10946	155
986	10956	144
987	10966	133
988	10976	122
989	10988	110
990	10998	99
991	11008	88
992	11018	77
993	11027	66
994	11038	55
995	11049	44
996	11059	33
997	11070	22
998	11080	11
999	11091	0
