iter	Logloss
0	0.6884140193
1	0.6836241238
2	0.679518455
3	0.6753624537
4	0.671602367
5	0.6677713152
6	0.664258505
7	0.6605224548
8	0.6574308852
9	0.6542232063
10	0.6514748
11	0.649878076
12	0.6478196489
13	0.6452721475
14	0.6430172534
15	0.6405065524
16	0.6384566895
17	0.6361085187
18	0.6341981629
19	0.6333872411
20	0.6314200878
21	0.6302727633
22	0.6281204921
23	0.6263502477
24	0.6242156032
25	0.6221913815
26	0.621268142
27	0.6194194072
28	0.6184317915
29	0.6173239591
30	0.6161388659
31	0.6139718129
32	0.6129613606
33	0.6118862865
34	0.6108552127
35	0.6099679129
36	0.6091919828
37	0.6085242162
38	0.6074497808
39	0.6067213118
40	0.6058594396
41	0.6049214067
42	0.6043200886
43	0.6037110397
44	0.6030115915
45	0.6023677652
46	0.6020313698
47	0.6010044489
48	0.6002842348
49	0.5998422392
50	0.5990123912
51	0.5984727521
52	0.5978206452
53	0.5971523936
54	0.5964999728
55	0.5960319406
56	0.5957498533
57	0.5950995798
58	0.5947182044
59	0.5939303106
60	0.5933512153
61	0.592898774
62	0.592115611
63	0.5913834248
64	0.5908749613
65	0.5900574011
66	0.5895164743
67	0.5889342276
68	0.5886430668
69	0.5882395943
70	0.5876148811
71	0.5869195575
72	0.5860946143
73	0.5859038868
74	0.5855682772
75	0.5850790823
76	0.5847520867
77	0.5843974996
78	0.5837957912
79	0.5830812176
80	0.5826518439
81	0.5824526198
82	0.5821731749
83	0.5819398785
84	0.5815417852
85	0.5813309915
86	0.5810701708
87	0.5807033014
88	0.5802773856
89	0.5799333187
90	0.5796851771
91	0.5788028505
92	0.5785392584
93	0.5781116148
94	0.5776815829
95	0.5772110364
96	0.576688988
97	0.5762707616
98	0.5757307165
99	0.5755135252
100	0.5750557912
101	0.5748118636
102	0.5744794329
103	0.5740754136
104	0.5738594428
105	0.5736212983
106	0.5733086741
107	0.5731015093
108	0.5728544187
109	0.5723760286
110	0.5720423758
111	0.5718555008
112	0.5714702172
113	0.5710550543
114	0.5707954731
115	0.5703978798
116	0.5700907491
117	0.569748679
118	0.5692387957
119	0.568916179
120	0.5684927648
121	0.5683559845
122	0.5680841895
123	0.5677620386
124	0.5674712746
125	0.5672478449
126	0.5670238433
127	0.5666390074
128	0.5665382041
129	0.5662836717
130	0.5659370747
131	0.5655210591
132	0.5652544041
133	0.5648791155
134	0.5646561212
135	0.5642976822
136	0.56414527
137	0.5640525332
138	0.5638641055
139	0.5636581907
140	0.5634516182
141	0.5630889601
142	0.5625900653
143	0.5623407042
144	0.5621621224
145	0.562066938
146	0.5617337327
147	0.561580665
148	0.5614659368
149	0.5612311484
150	0.5610365391
151	0.5605574429
152	0.5602978787
153	0.5602197348
154	0.5601059684
155	0.5598397116
156	0.5593919506
157	0.5593325408
158	0.5590723194
159	0.5589233882
160	0.5587512237
161	0.5583797202
162	0.5579887423
163	0.5576223093
164	0.5573798309
165	0.5572902652
166	0.5570059006
167	0.5567114986
168	0.5563527287
169	0.5556300387
170	0.5552593053
171	0.5549133992
172	0.5546569942
173	0.5541777003
174	0.5539372954
175	0.5537249587
176	0.5534753643
177	0.5532962321
178	0.5531970654
179	0.5531216623
180	0.5529500726
181	0.5525403581
182	0.5522800284
183	0.5520622031
184	0.5518445907
185	0.5517514964
186	0.5514767455
187	0.5513683511
188	0.5512154361
189	0.5510809193
190	0.5507613088
191	0.5505479762
192	0.5503910307
193	0.5503170116
194	0.55010373
195	0.5499774726
196	0.5498834088
197	0.5496412469
198	0.5495653489
199	0.5493471125
200	0.5490481681
201	0.5489191996
202	0.5488157914
203	0.5485862154
204	0.5484419132
205	0.5483013921
206	0.5478221207
207	0.5475109441
208	0.5472688288
209	0.5471170165
210	0.5468428132
211	0.5466057429
212	0.5465475152
213	0.5463029953
214	0.546158829
215	0.5460512166
216	0.5458499054
217	0.5456923521
218	0.5455994494
219	0.5454527935
220	0.5451860657
221	0.5449056114
222	0.5445761371
223	0.5445102243
224	0.5443057101
225	0.544160858
226	0.544025151
227	0.5439518586
228	0.5438471261
229	0.5436971672
230	0.543573915
231	0.5434354445
232	0.543245356
233	0.5431113275
234	0.5430903204
235	0.5429447088
236	0.5428775278
237	0.5427959278
238	0.5427284672
239	0.5425782577
240	0.5424678123
241	0.5423013752
242	0.5422137667
243	0.5419114954
244	0.5417314717
245	0.54151838
246	0.5414058586
247	0.5412627676
248	0.541178708
249	0.5411143129
250	0.5409126612
251	0.5406473747
252	0.5405650065
253	0.540442931
254	0.5403319422
255	0.5402332438
256	0.5399899893
257	0.5395003966
258	0.5393092266
259	0.5392254801
260	0.5391195691
261	0.5389278765
262	0.5387296258
263	0.5386960239
264	0.53840679
265	0.5382816663
266	0.5381829485
267	0.5380934636
268	0.5379721711
269	0.5378028695
270	0.5375821267
271	0.5373634325
272	0.537281345
273	0.5370644734
274	0.5369911493
275	0.5368418782
276	0.5367339174
277	0.5364174247
278	0.5362890441
279	0.5359949403
280	0.5359484884
281	0.5358151771
282	0.5357612778
283	0.5355901121
284	0.5353864745
285	0.5350722749
286	0.5348467082
287	0.5345642237
288	0.5344075208
289	0.5343249777
290	0.534232715
291	0.5341411976
292	0.5338789328
293	0.5338127947
294	0.5336830695
295	0.5334372599
296	0.5331778707
297	0.533010919
298	0.5328979918
299	0.5328028974
300	0.5325888021
301	0.5324075802
302	0.5322635256
303	0.5322047733
304	0.5319800035
305	0.5317857517
306	0.5315689879
307	0.5314849028
308	0.5313365062
309	0.5311453969
310	0.5310089671
311	0.5309631525
312	0.5308994285
313	0.5308127601
314	0.5306122797
315	0.5304883474
316	0.5303913416
317	0.530173733
318	0.530063938
319	0.5298583769
320	0.5297450195
321	0.5296249188
322	0.5294444527
323	0.5292444861
324	0.5289785451
325	0.5288560001
326	0.5287782055
327	0.5286284925
328	0.5283699447
329	0.5282669282
330	0.5281150614
331	0.5278292286
332	0.5275496141
333	0.5273385434
334	0.5272075667
335	0.5269812488
336	0.5269135357
337	0.5268426863
338	0.526684087
339	0.5263388659
340	0.5262404312
341	0.5260150492
342	0.5258228184
343	0.5257159547
344	0.5255636263
345	0.525093597
346	0.5248007946
347	0.524640529
348	0.5245099254
349	0.5242672128
350	0.5240403564
351	0.5239295246
352	0.523722857
353	0.5232360333
354	0.5231408849
355	0.5228648502
356	0.5227307321
357	0.5226221167
358	0.5224588909
359	0.5224236164
360	0.5222736004
361	0.522104863
362	0.5219682808
